         4118159 function calls (4116165 primitive calls) in 9.068 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2062    0.002    0.000    0.013    0.000 /Users/addisonschiller/acceptable_loss/controller.py:105(target_closest_enemy)
90418/90393    0.013    0.000    0.013    0.000 {len}
        8    0.000    0.000    0.013    0.002 /usr/local/lib/python2.7/site-packages/pyglet/text/layout.py:739(__init__)
       94    0.013    0.000    0.013    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/cocoatypes.py:62(NSMakeRect)
        8    0.000    0.000    0.013    0.002 /usr/local/lib/python2.7/site-packages/pyglet/text/layout.py:868(_set_document)
    12851    0.011    0.000    0.013    0.000 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_parse.py:191(__next)
      9/1    0.000    0.000    0.012    0.012 /Users/addisonschiller/acceptable_loss/levelgenerator.py:143(create_sprites)
      638    0.003    0.000    0.012    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexdomain.py:436(_set_attribute_data)
     8907    0.007    0.000    0.012    0.000 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/threading.py:300(_is_owned)
        2    0.000    0.000    0.012    0.006 /usr/local/lib/python2.7/site-packages/pyglet/window/cocoa/__init__.py:435(set_visible)
      447    0.001    0.000    0.012    0.000 /Users/addisonschiller/acceptable_loss/levelgenerator.py:56(move)
    54180    0.011    0.000    0.011    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:437(should_use_fpret)
        1    0.001    0.001    0.011    0.011 /usr/local/lib/python2.7/site-packages/pyglet/text/__init__.py:74(<module>)
      463    0.007    0.000    0.011    0.000 /usr/local/lib/python2.7/site-packages/pyglet/window/__init__.py:1145(clear)
       10    0.000    0.000    0.011    0.001 /Users/addisonschiller/acceptable_loss/enemy.py:8(gen_zombie_gun)
    17870    0.011    0.000    0.011    0.000 /usr/local/lib/python2.7/site-packages/pyglet/libs/darwin/cocoapy/runtime.py:877(get_class_method)
     2682    0.006    0.000    0.011    0.000 /Users/addisonschiller/acceptable_loss/statsmanager.py:97(update_stats)
     2063    0.008    0.000    0.011    0.000 /Users/addisonschiller/acceptable_loss/controller.py:85(target_enemy)
       44    0.000    0.000    0.011    0.000 /Users/addisonschiller/acceptable_loss/utility.py:192(load_sound)
     1772    0.004    0.000    0.010    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/vertexbuffer.py:420(get_region)
       30    0.000    0.000    0.010    0.000 /usr/local/Cellar/python/2.7.9/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sre_compile.py:552(_code)
    32152    0.010    0.000    0.010    0.000 /usr/local/lib/python2.7/site-packages/pyglet/sprite.py:461(<lambda>)
        1    0.003    0.003    0.010    0.010 /usr/local/lib/python2.7/site-packages/pyglet/text/layout.py:154(<module>)
      566    0.003    0.000    0.010    0.000 /usr/local/lib/python2.7/site-packages/pyglet/sprite.py:432(_update_color)
    35630    0.009    0.000    0.009    0.000 {method 'release' of 'thread.lock' objects}
      447    0.001    0.000    0.009    0.000 /Users/addisonschiller/acceptable_loss/levelgenerator.py:60(update)
        1    0.000    0.000    0.009    0.009 /usr/local/lib/python2.7/site-packages/pyglet/extlibs/png.py:183(<module>)
        1    0.005    0.005    0.009    0.009 /Users/addisonschiller/acceptable_loss/inventory.py:1(<module>)
      149    0.002    0.000    0.009    0.000 /Users/addisonschiller/acceptable_loss/player.py:35(update_bars)
        2    0.000    0.000    0.009    0.004 /Users/addisonschiller/acceptable_loss/ability.py:72(display_outcome)
        2    0.000    0.000    0.009    0.004 /Users/addisonschiller/acceptable_loss/effect.py:77(bullet_evade)
        2    0.000    0.000    0.009    0.004 /Users/addisonschiller/acceptable_loss/effect.py:24(__init__)
    53094    0.009    0.000    0.009    0.000 {_ctypes.byref}
      448    0.000    0.000    0.009    0.000 /usr/local/lib/python2.7/site-packages/pyglet/graphics/__init__.py:629(set_state_recursive)
        1    0.008    0.008    0.008    0.008 /usr/local/lib/python2.7/site-packages/pyglet/extlibs/png.py:2402(pngfilters)
